L,O,1
1509.07,-8.82,-49.72
1509.08,-8.82,-49.73
1509.09,-8.82,-49.65
1509.1,-8.84,-49.68
1509.11,-8.88,-49.75
1509.12,-8.9,-49.7
1509.13,-8.92,-49.6
1509.14,-8.93,-49.55
1509.15,-8.96,-49.61
1509.16,-8.99,-49.62
1509.17,-9.05,-49.5
1509.18,-9.09,-49.51
1509.19,-9.11,-49.44
1509.2,-9.14,-49.46
1509.21,-9.19,-49.39
1509.22,-9.26,-49.21
1509.23,-9.32,-49.23
1509.24,-9.36,-49.21
1509.25,-9.38,-49.18
1509.26,-9.43,-49.07
1509.27,-9.5,-49.08
1509.28,-9.57,-48.9
1509.29,-9.64,-48.83
